District Short,District Long,State_Short,State,Wikipedia Page,Wikipedia_Mobile,Rep First Last,"Rep Last, First",Website,Party,ACHA Vote,Margin of Victory 2016,Total Vote,Top Opponent,Hispanic,White,Black,Native American,Asian,Pacific,Other,Multiple Races,Total,Senator 1,Senator 2,Room,Phone
CA-52,California District 52,CA,California,https://en.wikipedia.org/wiki/California%27s_52nd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_52nd_congressional_district,Scott Peters,"Peters, Scott ",https://scottpeters.house.gov/,Democrat,N,13.10%,"320,656",Denise Gitsham,"92,699","433,712","20,468","1,756","133,522","2,676","1,246","25,443","711,522",Feinstein,Harris,1122 LHOB,202-225-0508
CA-53,California District 53,CA,California,https://en.wikipedia.org/wiki/California%27s_53rd_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_53rd_congressional_district,Susan A. Davis,"Davis, Susan ",https://susandavis.house.gov/,Democrat,N,34%,"296,956",James Veltmeyer,"235,217","302,680","56,536","2,107","92,129","4,345","1,513","26,866","721,393",Feinstein,Harris,1214 LHOB,202-225-2040
CA-6,California District 6,CA,California,https://en.wikipedia.org/wiki/California%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_6th_congressional_district,Doris Matsui,"Matsui, Doris O. ",https://matsui.house.gov/,Democrat,N,50.90%,"235,413",Robert Evans,"191,701","278,985","85,482","3,715","106,898","8,004","2,307","32,766","709,858",Feinstein,Harris,2311 RHOB,202-225-7163
CA-7,California District 7,CA,California,https://en.wikipedia.org/wiki/California%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_7th_congressional_district,Ami Bera,"Bera, Ami ",https://bera.house.gov/,Democrat,N,2.30%,"297,301",Scott Jones,"118,135","396,952","52,837","3,514","100,730","5,930","1,763","31,647","711,508",Feinstein,Harris,1431 LHOB,202-225-5716
CA-8,California District 8,CA,California,https://en.wikipedia.org/wiki/California%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_8th_congressional_district,Paul Cook,"Cook, Paul ",https://cook.house.gov/,Republican,Y,24.50%,"220,007",Rita Ramirez,"251,777","347,858","57,043","6,711","19,758","2,817",760,"15,005","701,729",Feinstein,Harris,1222 LHOB,202-225-5861
CA-9,California District 9,CA,California,https://en.wikipedia.org/wiki/California%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/California%27s_9th_congressional_district,Jerry McNerney,"McNerney, Jerry ",https://mcnerney.house.gov/,Democrat,N,14.70%,"232,155",Antonio Amador,"269,173","260,371","57,801","3,058","94,850","3,081","1,060","24,428","713,822",Feinstein,Harris,2265 RHOB,202-225-1947
CO-1,Colorado District 1,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_1st_congressional_district,Diana DeGette,"DeGette, Diana ",https://degette.house.gov/,Democrat,N,40.20%,"379,036",Casper Stockham,"211,732","421,720","62,138","3,859","23,514",490,"1,235","15,566","740,254",Bennet,Gardner,2111 RHOB,202-225-4431
CO-2,Colorado District 2,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_2nd_congressional_district,Jared Polis,"Polis, Jared ",https://polis.house.gov/,Democrat,N,19.70%,"457,312",Nicholas Morse,"73,461","615,381","5,248","1,841","20,250",499,"1,275","14,841","732,796",Bennet,Gardner,1727 LHOB,202-225-2161
CO-3,Colorado District 3,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_3rd_congressional_district,Scott Tipton,"Tipton, Scott ",https://tipton.house.gov/,Republican,Y,14.30%,"374,037",Gail Schwartz,"173,130","515,899","5,559","8,597","4,979",515,"1,027","10,663","720,369",Bennet,Gardner,218 CHOB,202-225-4761
CO-4,Colorado District 4,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_4th_congressional_district,Ken Buck,"Buck, Ken ",https://buck.house.gov/,Republican,Y,31.90%,"390,633",Bob Seay,"156,198","534,587","8,317","3,549","11,846",438,"1,015","12,367","728,317",Bennet,Gardner,1130 LHOB,202-225-4676
CO-5,Colorado District 5,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_5th_congressional_district,Doug Lamborn,"Lamborn, Doug ",https://lamborn.house.gov/,Republican,Y,31.40%,"361,993",Misty Plowright,"106,795","533,132","38,732","3,811","16,988","1,807","1,160","27,430","729,855",Bennet,Gardner,2402 RHOB,202-225-4422
CO-6,Colorado District 6,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_6th_congressional_district,Mike Coffman,"Coffman, Mike ",https://coffman.house.gov/,Republican,N,8.30%,"376,417",Morgan Carroll,"145,545","464,179","63,654","2,329","38,420","1,284","1,378","20,432","737,221",Bennet,Gardner,2443 RHOB,202-225-7882
CO-7,Colorado District 7,CO,Colorado,https://en.wikipedia.org/wiki/Colorado%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Colorado%27s_7th_congressional_district,Ed Perlmutter,"Perlmutter, Ed ",https://perlmutter.house.gov/,Democrat,N,15.40%,"362,010",George Athanasopoulos,"197,148","482,437","9,608","3,909","22,875",672,"1,075","12,793","730,517",Bennet,Gardner,1410 LHOB,202-225-2645
CT-1,Connecticut District 1,CT,Connecticut,https://en.wikipedia.org/wiki/Connecticut%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Connecticut%27s_1st_congressional_district,John B. Larson,"Larson, John B. ",https://larson.house.gov/,Democrat,N,30.40%,"312,925",Matthew Corey,"108,420","460,077","99,322","1,037","33,327",236,"2,181","12,337","716,937",Blumenthal,Murphy,1501 LHOB,202-225-2265
CT-2,Connecticut District 2,CT,Connecticut,https://en.wikipedia.org/wiki/Connecticut%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Connecticut%27s_2nd_congressional_district,Joe Courtney,"Courtney, Joe ",https://courtney.house.gov/,Democrat,N,29.60%,"330,257",Daria Novak,"50,470","597,793","24,672","1,580","21,697",204,"1,041","16,887","714,344",Blumenthal,Murphy,2348 RHOB,202-225-2076
CT-3,Connecticut District 3,CT,Connecticut,https://en.wikipedia.org/wiki/Connecticut%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Connecticut%27s_3rd_congressional_district,Rosa DeLauro,"DeLauro, Rosa L. ",https://delauro.house.gov/,Democrat,N,38.10%,"309,379",Angel Cadena,"92,118","487,203","90,324",986,"28,778",176,"2,687","12,296","714,568",Blumenthal,Murphy,2413 RHOB,202-225-3661
CT-4,Connecticut District 4,CT,Connecticut,https://en.wikipedia.org/wiki/Connecticut%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Connecticut%27s_4th_congressional_district,Jim Himes,"Himes, Jim ",https://himes.house.gov/,Democrat,N,19.80%,"313,540",John Shaban,"127,090","464,827","82,306",698,"34,076",172,"3,323","9,697","722,189",Blumenthal,Murphy,1227 LHOB,202-225-5541
CT-5,Connecticut District 5,CT,Connecticut,https://en.wikipedia.org/wiki/Connecticut%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Connecticut%27s_5th_congressional_district,Elizabeth Esty,"Esty, Elizabeth ",https://esty.house.gov/,Democrat,N,16%,"309,082",Clay Cope,"118,841","516,501","41,134",484,"22,714",361,"2,972","12,516","715,523",Blumenthal,Murphy,221 CHOB,202-225-4476
DE-AL,Delaware's At-Large District,DE,Delaware,https://en.wikipedia.org/wiki/Delaware%27s_at-large_congressional_district,https://en.m.wikipedia.org/wiki/Delaware%27s_at-large_congressional_district,Lisa Blunt Rochester,"Blunt Rochester, Lisa ",https://bluntrochester.house.gov/,Democrat,N,14.60%,"420,617",Hans Reigle,"76,107","588,561","190,353","2,400","30,176",268,"2,017","18,564","908,446",Carper,Coons,1123 LHOB,202-225-4165
FL-1,Florida District 1,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_1st_congressional_district,Matt Gaetz,"Gaetz, Matt ",https://gaetz.house.gov/,Republican,Y,38.20%,"369,186",Steven Specht,"39,297","529,613","93,588","3,852","17,581",881,"1,107","24,524","710,443",Nelson,Rubio,507 CHOB,202-225-4136
FL-10,Florida District 10,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_10th_congressional_district,Val Demings,"Demings, Val ",https://demings.house.gov/,Democrat,N,29.70%,"305,989",Thuy Lowe,"115,003","467,924","83,637","1,711","25,559",346,"5,103","12,588","711,871",Nelson,Rubio,238 CHOB,202-225-2176
FL-11,Florida District 11,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_11th_congressional_district,Daniel Webster,"Webster, Daniel ",https://webster.house.gov/,Republican,Y,33.80%,"394,719",Dave Koller,"63,035","560,523","57,994","2,032","8,525",233,650,"8,546","701,538",Nelson,Rubio,1210 LHOB,202-225-1002
FL-12,Florida District 12,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_12th_congressional_district,Gus Bilirakis,"Bilirakis, Gus M. ",https://bilirakis.house.gov/,Republican,Y,37.20%,"369,669",Robert Tager,"84,871","556,535","28,659","1,690","18,193",451,"1,019","11,371","702,789",Nelson,Rubio,2112 RHOB,202-225-5755
FL-13,Florida District 13,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_13th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_13th_congressional_district,Charlie Crist,"Crist, Charlie ",https://crist.house.gov/,Democrat,N,3.80%,"355,842",David Jolly,"61,693","558,322","38,780","1,558","23,917",553,"1,034","11,842","697,699",Nelson,Rubio,427 CHOB,202-225-5961
FL-14,Florida District 14,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_14th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_14th_congressional_district,Kathy Castor,"Castor, Kathy ",https://castor.house.gov/,Democrat,N,23.60%,"316,877",Christine Quinn,"198,687","296,280","182,537","1,203","19,642",559,"1,722","12,516","713,146",Nelson,Rubio,2052 RHOB,202-225-3376
FL-15,Florida District 15,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_15th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_15th_congressional_district,Dennis A. Ross,"Ross, Dennis ",https://dennisross.house.gov/,Republican,Y,14.90%,"318,474",Jim Lange,"124,305","452,345","89,368","1,595","22,576",320,"1,780","14,849","707,138",Nelson,Rubio,436 CHOB,202-225-1252
FL-16,Florida District 16,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_16th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_16th_congressional_district,Vern Buchanan,"Buchanan, Vern ",https://buchanan.house.gov/,Republican,Y,19.50%,"385,916",Jan Schneider,"79,643","559,104","45,027","1,467","10,943",241,"1,560","8,755","706,740",Nelson,Rubio,2104 RHOB,202-225-5015
FL-17,Florida District 17,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_17th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_17th_congressional_district,Tom Rooney,"Rooney, Tom ",https://rooney.house.gov/,Republican,Y,27.60%,"338,675",April Freeman,"121,880","498,124","62,735","1,739","8,587",165,"1,747","8,985","703,962",Nelson,Rubio,2160 RHOB,202-225-5792
FL-18,Florida District 18,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_18th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_18th_congressional_district,Brian Mast,"Mast, Brian ",https://mast.house.gov/,Republican,Y,10.50%,"375,918",Randy Perkins,"98,877","488,756","83,275","1,073","12,918",425,"1,660","9,924","696,908",Nelson,Rubio,2182 RHOB,202-225-3026
FL-19,Florida District 19,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_19th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_19th_congressional_district,Francis Rooney,"Rooney, Francis ",https://francisrooney.house.gov/,Republican,Y,31.80%,"363,166",Robert Neeld,"125,641","513,136","52,385","1,548","9,936",31,934,"6,993","710,604",Nelson,Rubio,120 CHOB,202-225-2536
FL-2,Florida District 2,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_2nd_congressional_district,Neal Dunn,"Dunn, Neal ",https://dunn.house.gov/,Republican,Y,37.40%,"343,362",Walter Dartland,"37,894","461,605","169,125","2,949","12,945",268,992,"15,013","700,791",Nelson,Rubio,423 CHOB,202-225-5235
FL-20,Florida District 20,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_20th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_20th_congressional_district,Alcee L. Hastings,"Hastings, Alcee L. ",https://alceehastings.house.gov/,Democrat,N,60.60%,"277,560",Gary Stein,"140,498","177,292","368,970","1,382","12,752",408,"2,476","10,481","714,259",Nelson,Rubio,2353 RHOB,202-225-1313
FL-21,Florida District 21,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_21st_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_21st_congressional_district,Lois Frankel,"Frankel, Lois ",https://frankel.house.gov/,Democrat,N,27.60%,"335,861",Paul Spain,"148,062","438,648","84,474","1,130","25,394",240,"3,204","11,782","712,934",Nelson,Rubio,1037 LHOB,202-225-9890
FL-22,Florida District 22,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_22nd_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_22nd_congressional_district,Ted Deutch,"Deutch, Ted ",https://teddeutch.house.gov/,Democrat,N,17.90%,"337,850",Andrea Leigh McGee,"148,550","455,497","75,678",801,"14,209",274,"2,317","8,880","706,206",Nelson,Rubio,2447 RHOB,202-225-3001
FL-23,Florida District 23,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_23rd_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_23rd_congressional_district,Debbie Wasserman Schultz,"Wasserman Schultz, Debbie ",https://wassermanschultz.house.gov/,Democrat,N,16.20%,"323,120",Joe Kaufman,"268,496","332,124","74,250","1,439","23,662",502,"3,364","9,936","713,773",Nelson,Rubio,1114 LHOB,202-225-7931
FL-24,Florida District 24,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_24th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_24th_congressional_district,Frederica S. Wilson,"Wilson, Frederica ",https://wilson.house.gov/,Democrat,N,100%,N/A,Unopposed,"221,503","86,295","372,545",462,"11,245",82,"2,224","6,360","700,716",Nelson,Rubio,2445 RHOB,202-225-4506
FL-25,Florida District 25,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_25th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_25th_congressional_district,Mario Diaz-Balart,"Diaz-Balart, Mario ",https://mariodiazbalart.house.gov/,Republican,Y,24.70%,"253,240",Alina Valdes,"500,821","139,200","44,866",409,"14,256",18,"1,467","4,071","705,108",Nelson,Rubio,440 CHOB,202-225-4211
FL-26,Florida District 26,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_26th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_26th_congressional_district,Carlos Curbelo,"Curbelo, Carlos ",https://curbelo.house.gov/,Republican,Y,11.80%,"280,542",Joe Garcia,"490,123","144,192","66,473","1,068","12,400",247,"1,736","5,484","721,723",Nelson,Rubio,1404 LHOB,202-225-2778
FL-27,Florida District 27,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_27th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_27th_congressional_district,Ileana Ros-Lehtinen,"Ros-Lehtinen, Ileana ",https://ros-lehtinen.house.gov/,Republican,N,9.80%,"287,677",Scott Fuhrman,"522,064","126,978","44,748",489,"11,184",52,"1,266","3,878","710,659",Nelson,Rubio,2206 RHOB,202-225-3931
FL-3,Florida District 3,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_3rd_congressional_district,Ted Yoho,"Yoho, Ted ",https://yoho.house.gov/,Republican,Y,16.80%,"342,700",Kenneth McGurn,"56,177","514,545","92,950","1,862","20,691",422,"1,437","14,002","702,086",Nelson,Rubio,511 CHOB,202-225-5744
FL-4,Florida District 4,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_4th_congressional_district,John Rutherford,"Rutherford, John ",https://rutherford.house.gov/,Republican,Y,42.60%,"409,662",David Bruderly,"54,953","506,263","92,646","2,016","31,401",592,"1,345","16,230","705,446",Nelson,Rubio,230 CHOB,202-225-2501
FL-5,Florida District 5,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_5th_congressional_district,Al Lawson,"Lawson, Al ",https://lawson.house.gov/,Democrat,N,28.50%,"302,874",Glo Smith,"81,778","216,653","360,536","1,699","16,328",570,"2,419","14,678","694,661",Nelson,Rubio,1337 LHOB,202-225-0123
FL-6,Florida District 6,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_6th_congressional_district,Ron DeSantis,"DeSantis, Ron ",https://desantis.house.gov/,Republican,Y,17.10%,"364,570",William McCullough,"48,678","564,879","65,187","1,486","13,188",635,"1,708","10,917","706,678",Nelson,Rubio,1524 LHOB,202-225-2706
FL-7,Florida District 7,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_7th_congressional_district,Stephanie Murphy,"Murphy, Stephanie ",https://stephaniemurphy.house.gov/,Democrat,N,3%,"353,655",John Mica,"138,981","466,859","58,362",967,"24,567",277,"1,256","12,340","703,609",Nelson,Rubio,1237 LHOB,202-225-4035
FL-8,Florida District 8,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_8th_congressional_district,Bill Posey,"Posey, Bill ",https://posey.house.gov/,Republican,Y,30.60%,"390,561",Corry Westbrook,"64,799","537,443","66,445","1,837","13,163",414,"1,039","14,073","699,213",Nelson,Rubio,2150 RHOB,202-225-3671
FL-9,Florida District 9,FL,Florida,https://en.wikipedia.org/wiki/Florida%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Florida%27s_9th_congressional_district,Darren Soto,"Soto, Darren ",https://soto.house.gov/,Democrat,N,15%,"339,761",Wayne Liebnitzky,"333,611","277,219","70,742","1,235","31,357",898,"3,143","12,251","730,456",Nelson,Rubio,1429 LHOB,202-225-9889
GA-1,Georgia District 1,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_1st_congressional_district,Earl L. ?Buddy? Carter,"Carter, Buddy ",https://buddycarter.house.gov/,Republican,Y,100%,"210,243",Unopposed,"43,469","425,055","207,602","1,847","11,281",683,"1,263","12,169","703,369",Isakson,Perdue,432 CHOB,202-225-5831
GA-10,Georgia District 10,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_10th_congressional_district,Jody B. Hice,"Hice, Jody ",https://hice.house.gov/,Republican,Y,100%,"243,725",Unopposed,"35,667","465,355","173,278",873,"13,954",191,621,"10,905","700,844",Isakson,Perdue,324 CHOB,202-225-4101
GA-11,Georgia District 11,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_11th_congressional_district,Barry Loudermilk,"Loudermilk, Barry ",https://loudermilk.house.gov/,Republican,Y,34.80%,"323,318",Don Wilson,"78,778","480,547","104,418","2,138","20,688",370,"2,320","11,695","700,954",Isakson,Perdue,329 CHOB,202-225-2931
GA-12,Georgia District 12,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_12th_congressional_district,Rick W. Allen,"Allen, Rick ",https://allen.house.gov/,Republican,Y,23.20%,"258,912",Tricia Carpenter McCracken,"37,919","395,498","239,131","1,638","11,049",526,"1,326","10,527","697,614",Isakson,Perdue,426 CHOB,202-225-2823
GA-13,Georgia District 13,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_13th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_13th_congressional_district,David Scott,"Scott, David ",https://davidscott.house.gov/,Democrat,N,100%,"252,833",Unopposed,"71,980","208,923","385,126","1,207","17,750",298,"1,974","13,133","700,391",Isakson,Perdue,225 CHOB,202-225-2939
GA-14,Georgia District 14,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_14th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_14th_congressional_district,Tom Graves,"Graves, Tom ",https://tomgraves.house.gov/,Republican,Y,100%,"216,743",Unopposed,"72,846","543,341","59,414","1,551","5,775",140,"1,166","8,598","692,831",Isakson,Perdue,2078 RHOB,202-225-5211
GA-2,Georgia District 2,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_2nd_congressional_district,Sanford D. Bishop Jr.,"Bishop Jr., Sanford D. ",https://bishop.house.gov/,Democrat,N,22.50%,"242,599",Greg Duke,"32,135","288,172","354,876","1,044","7,421",255,"1,227","10,060","695,190",Isakson,Perdue,2407 RHOB,202-225-3631
GA-3,Georgia District 3,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_3rd_congressional_district,Drew Ferguson,"Ferguson, A. Drew ",https://ferguson.house.gov/,Republican,Y,36.70%,"303,187",Angela Pendley,"36,529","470,356","162,051","1,263","11,808",234,"1,176","11,909","695,326",Isakson,Perdue,1032 LHOB,202-225-5901
GA-4,Georgia District 4,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_4th_congressional_district,Hank Johnson,"Johnson, Henry C. ""Hank"" Jr. ",https://hankjohnson.house.gov/,Democrat,N,51.40%,"290,739",Victor Armendariz,"65,763","188,829","403,275","1,003","32,576",267,"2,284","11,980","705,977",Isakson,Perdue,2240 RHOB,202-225-1605
GA-5,Georgia District 5,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_5th_congressional_district,John Lewis,"Lewis, John ",https://johnlewis.house.gov/,Democrat,N,68.90%,"300,549",Douglas Bell,"55,327","200,585","410,010","1,280","27,251",158,"1,058","11,396","707,065",Isakson,Perdue,343 CHOB,202-225-3801
GA-6,Georgia District 6,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_6th_congressional_district,"Price, Tom -- Vacancy","Price, Tom -- Vacancy",https://clerk.house.gov/member_info/vacancies_pr.aspx?pr=house&vid=107,Vacant,Vacant,23.40%,"326,005",Rodney Stooksbury,"88,039","444,007","87,988","1,162","67,987",314,"1,711","13,345","704,553",Isakson,Perdue,1211 LHOB,202-225-4501
GA-7,Georgia District 7,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_7th_congressional_district,Rob Woodall,"Woodall, Robert ",https://woodall.house.gov/,Republican,Y,20.80%,"288,301",Rashid Malik,"132,844","349,748","127,801","1,386","84,060",244,"2,344","13,739","712,166",Isakson,Perdue,1724 LHOB,202-225-4272
GA-8,Georgia District 8,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_8th_congressional_district,Austin Scott,"Scott, Austin ",https://austinscott.house.gov/,Republican,Y,35.30%,"257,208",James Neal Harris,"41,311","426,406","207,764",699,"8,949",96,"1,627","9,767","696,619",Isakson,Perdue,2417 RHOB,202-225-6531
GA-9,Georgia District 9,GA,Georgia,https://en.wikipedia.org/wiki/Georgia%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Georgia%27s_9th_congressional_district,Doug Collins,"Collins, Doug ",https://dougcollins.house.gov/,Republican,Y,100%,"256,535",Unopposed,"83,242","549,117","48,021","1,239","8,171",149,"1,050","6,529","697,518",Isakson,Perdue,1504 LHOB,202-225-9893
HI-1,Hawaii District 1,HI,Hawaii,https://en.wikipedia.org/wiki/Hawaii%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Hawaii%27s_1st_congressional_district,Colleen Hanabusa,"Hanabusa, Colleen ",https://hanabusa.house.gov/,Democrat,N,49.20%,"202,357",Shirlene Ostrov,"51,922","116,329","13,027",612,"345,403","48,559",796,"112,845","689,493",Hirono,Schatz,422 CHOB,202-225-2726
HI-2,Hawaii District 2,HI,Hawaii,https://en.wikipedia.org/wiki/Hawaii%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Hawaii%27s_2nd_congressional_district,Tulsi Gabbard,"Gabbard, Tulsi ",https://gabbard.house.gov/,Democrat,N,62.30%,"210,516",Angela Aulani Kaaihue,"76,249","197,848","9,668","1,273","169,736","77,668","1,140","153,223","686,805",Hirono,Schatz,1433 LHOB,202-225-4906
ID-1,Idaho District 1,ID,Idaho,https://en.wikipedia.org/wiki/Idaho%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Idaho%27s_1st_congressional_district,Ra£l R. Labrador,"Labrador, Raul R. ",https://labrador.house.gov/,Republican,Y,36.40%,"355,357",James Piotrowski,"80,787","676,385","2,861","8,401","8,635",790,652,"16,092","794,603",Crapo,Risch,1523 LHOB,202-225-6611
ID-2,Idaho District 2,ID,Idaho,https://en.wikipedia.org/wiki/Idaho%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Idaho%27s_2nd_congressional_district,Mike Simpson,"Simpson, Mike ",https://simpson.house.gov/,Republican,Y,33.50%,"326,237",Jennifer Martinez,"100,114","648,183","5,406","7,989","10,832","1,327",659,"14,251","788,761",Crapo,Risch,2084 RHOB,202-225-5531
IL-1,Illinois District 1,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_1st_congressional_district,Bobby L. Rush,"Rush, Bobby L. ",https://rush.house.gov/,Democrat,N,48.20%,"315,862",August (O'Neill) Deuser,"65,276","255,068","373,992","1,023","13,397",61,599,"8,306","717,722",Duckworth,Durbin,2188 RHOB,202-225-4372
IL-10,Illinois District 10,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_10th_congressional_district,Brad Schneider,"Schneider, Bradley ",https://schneider.house.gov/,Democrat,N,5.20%,"285,996",Robert Dold,"153,523","431,595","45,337",928,"66,850",79,"1,189","12,338","711,839",Duckworth,Durbin,1432 LHOB,202-225-4835
IL-11,Illinois District 11,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_11th_congressional_district,Bill Foster,"Foster, Bill ",https://foster.house.gov/,Democrat,N,20.90%,"275,573",Tonia Khouri,"186,668","384,352","76,316",660,"50,235",123,"2,261","14,526","715,141",Duckworth,Durbin,1224 LHOB,202-225-3515
